scenario,sigma_x_me_folder,sigma_y_me_folder,n_per_habitat_folder,n_habitats_folder,sim_id,beta_true,n,sigma_x_me,sigma_y_me,n_per_habitat,n_habitats,beta_ols,se_ols,beta_majoraxis,beta_rma,beta_deming_std,beta_deming_wtd,beta_deming_mcr,beta_theilsen,beta_siegel,beta_lmer,se_lmer,beta_lmer_slopes,se_lmer_slopes,beta_nlme,beta_rf,beta_glmnet,beta_nnet,beta_keras,beta_keras_denoised,beta_ensemble,time_total,sd_beta_actual,sd_alpha_actual,cor_alpha_beta_actual
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,5,0.6,432,0.2,0.4,36,12,0.512498196681113,0.0487877060650844,1.31741863901448,1.13408893598845,0.670481715200126,0.670481715200126,2.13867317100052,0.457268382752348,0.456830788821717,0.431746201756205,0.0551803523616559,0.439378183923723,0.0785657196882428,0.484197869580529,0.1527103800316,0.587458086026717,-1.07810038092603,0.305594395380467,0.76589397397738,0.542347332798287,41.9833781719208,0.312417600907891,0.47587089855235,-0.140191392868877
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,5,1,432,0.2,0.4,36,12,0.905966363145311,0.059947607176221,2.00629399894946,1.53820439532501,1.29213561043905,1.29213561043905,2.43824080781252,1.01080035537877,1.00943622896348,0.728557099276123,0.058048137646476,0.738051192504577,0.127309338634641,1.48161702095732,0.162028199498196,0.437354235056659,1.59992430276901,0.327990685822442,0.970864690880477,0.90155154113321,44.1734540462494,0.505177305097757,0.239258895230004,-0.333717479088804
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,5,1.4,432,0.2,0.4,36,12,1.40505188041498,0.0467914963564633,1.89194517558703,1.70752211204035,1.65100952980028,1.65100952980028,2.0208849335868,1.40141068004057,1.39616214161236,1.35924693463805,0.0568923157362827,1.35727201540592,0.113109443022692,1.25570146515901,0.353659272659693,1.07421519135011,2.46501935974006,0.350664357189089,1.72401729541397,1.3070297316659,41.3754270076752,0.370578051575698,0.289676720358856,-0.179930464699757
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,6,0.6,432,0.2,0.4,36,12,0.58476998708432,0.0378840650026454,0.965634476405184,0.979332916672467,0.680239214144063,0.680239214144063,1.39217643681631,0.645687024178506,0.601469575709644,0.528477171903946,0.0528951147399488,0.529625745629703,0.0903657411035726,0.597672504178987,0.126835355490607,0.294451587967694,3.55574021304861,0.207457456737757,1.07588072752418,0.616757631709966,43.5726280212402,0.472125844548509,0.287017686077793,-0.424484160971917
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,6,1,432,0.2,0.4,36,12,0.778401167396928,0.0333512363563271,1.05554642993327,1.04124901584492,0.867105207582299,0.867105207582299,1.26873062060151,0.784960209973215,0.781787857683292,0.754990946537214,0.0472589026025827,0.740336228487254,0.0491994000070136,0.817626230618585,0.174799959689245,0.455503523951655,-7.90575181679232,0.27697583520785,0.743011839170905,0.690090851866239,42.7488389015198,0.314989753731835,0.484363190782013,-0.847845089563377
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,6,1.4,432,0.2,0.4,36,12,1.22474751106699,0.0550161650442231,1.9768006268008,1.67377453225316,1.56971603007337,1.56971603007337,2.19709067132255,1.24780566862412,1.25215829728597,1.18134740335837,0.0646363466283853,1.186635373477,0.109102369046661,1.0941385561576,0.347727876623201,0.930085126744106,-19.2629597377428,0.338397421874106,2.14421474166564,1.2733595426377,40.3777949810028,0.385678246744819,0.37782130044803,0.291227905685666
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,7,0.6,432,0.2,0.4,36,12,0.584664172321901,0.0448766514832646,1.19339155962673,1.09900643728211,0.726910572921428,0.726910572921428,1.77877728540467,0.605142316936872,0.597721216023032,0.510463297122025,0.0567374423808798,0.560666322265272,0.092852012494165,0.493578967839792,0.111371104058229,0.444328168866963,-8.8859180507393,0.288642414845526,1.41300174212605,0.679750207330492,40.2448809146881,0.375673312810705,0.505076165697296,-0.465136350395813
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,7,1,432,0.2,0.4,36,12,0.912310917486298,0.0657700798994403,2.29143690319137,1.64084236794872,1.40786566321772,1.40786566321772,2.76745342553877,1.01828651587884,0.940995161651148,0.598845136892487,0.0603618068917216,0.625995172454883,0.123027103033466,0.778031592846321,0.158007961051836,0.486903155117725,-2.20637353311424,0.291025099577382,0.955471650490008,0.916991969330049,39.9172329902649,0.553238101942565,0.338513241812956,-0.0697004748908159
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,7,1.4,432,0.2,0.4,36,12,1.53862417350206,0.0563324601342807,2.22498964624935,1.93181343693961,1.91478315988467,1.91478315988467,2.36854773303632,1.58054288879771,1.57775520257825,1.25144789665523,0.0668247067283934,1.26618956467162,0.0900916386983035,1.26237414473953,0.34082527988763,0.972694472778472,17.4080229549184,0.334541044197977,2.1970955017752,1.51437420076946,41.2226159572601,0.377455711317788,0.359431778342572,-0.451714141917367
habitat_visualization_output_R_20_40_n36_12,20,40,36,12,8,0.6,432,0.2,0.4,36,12,0.837660325794556,0.0412292031914478,1.29102666928287,1.19691650318849,0.987140469372359,0.987140469372359,1.57094064178804,0.791644930146368,0.823161992902622,0.649335066190637,0.0537631030062074,0.651646868699249,0.062860856465504,0.653625695900597,0.165167460027078,0.527745641797519,155.504003079145,0.305736862821505,1.0525727680702,0.794951071240998,38.8735489845276,0.34903106526224,0.589337043249572,-0.260036970794028
