scenario,n_obs,sigma_x_me,sigma_y_me,error_ratio,total_error,beta_true,method,n_simulations,rmse,bias,mae,mape,mse,variance,skewness,kurtosis,quantile_loss_05,huber_loss,consistency_01,consistency_005,relative_bias,cv,bias_squared,bias_proportion,variance_proportion,finite_sample_bias_correction,coverage_95,coverage_90,ci_width_95,ci_width_90,rejection_rate_05
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,enet,300,0.24963849057428342,-0.22697843453536165,0.2277918952993675,22.77918952993675,0.062319375976206584,0.010836287189381058,-0.13953186832475883,0.08770483839343379,0.11389594764968375,0.031159687988103292,0.10333333333333333,0.04,-0.22697843453536165,0.13466311099493014,0.051519209744123454,0.8266964958666048,0.17388311451511212,-8.17122364327302,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,adaptive_lasso,300,0.5374425750691567,-0.5016019159385537,0.5049493013971849,50.494930139718484,0.2888445214969661,0.037364588050573404,0.6654924716574745,0.6348324491182837,0.25247465069859243,0.14442226074848305,0.03,0.013333333333333334,-0.5016019159385537,0.38784101532830023,0.25160448207322794,0.8710723705932248,0.1293588254917477,-18.057668973787933,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,rf,300,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,gb,300,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,xgb,300,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,lgb,300,1.0,-1.0,1.0,100.0,1.0,0.0,,,0.5,0.5,0.0,0.0,-1.0,,1.0,1.0,0.0,-36.0,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,svm_linear,300,0.20169615900296597,-0.18749184194715499,0.18749184194715499,18.7491841947155,0.04068134055654973,0.005546638554996106,-0.5653998943637817,0.4486068469761588,0.09374592097357749,0.020340670278274867,0.10333333333333333,0.01,-0.18749184194715499,0.09166155124950104,0.03515319079673695,0.8641109244635561,0.13634355404994372,-6.749706310097579,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,svm_rbf,300,0.43171903185546995,-0.4148104438979745,0.4148104438979745,41.48104438979745,0.1863813224662243,0.01436148973182902,-0.03116957362756912,0.1834987141286777,0.20740522194898725,0.09319066123311215,0.01,0.0033333333333333335,-0.4148104438979745,0.20478737509210726,0.17206770436683466,0.9232025081162114,0.07705433968273073,-14.933175980327082,,,,,
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,lmer_int,300,0.12301896515901918,-0.050762883648123404,0.0990156556942596,9.90156556942596,0.015133665788795974,0.012598791403869289,0.0776630129535025,-0.005001280390980245,0.0495078278471298,0.007566832894397987,0.54,0.3433333333333333,-0.050762883648123404,0.11824689113553252,0.0025768703562729146,0.17027403619423587,0.8325009670291946,-1.8274638113324426,0.9166666666666666,0.8333333333333334,0.4132433391846366,0.3468047426549516,0.08333333333333333
n36_mex20_mey40,36,0.2,0.4,2.0,0.6000000000000001,1.0,lmer_slope,300,0.12301896515901918,-0.050762883648123404,0.0990156556942596,9.90156556942596,0.015133665788795974,0.012598791403869289,0.0776630129535025,-0.005001280390980245,0.0495078278471298,0.007566832894397987,0.54,0.3433333333333333,-0.050762883648123404,0.11824689113553252,0.0025768703562729146,0.17027403619423587,0.8325009670291946,-1.8274638113324426,0.9166666666666666,0.8333333333333334,0.4132433391846366,0.3468047426549516,0.08333333333333333
