method,method_col,beta_true,sigma_x_me,sigma_y_me,error_ratio,n,mean_bias,rmse,sd_bias,sd_rmse,n_sim
Median,beta_median,0.6,30.0,30.0,1.0,72,-0.06558168126981909,0.07461192308718959,0.06418648880657492,0.05338247973554004,300
Median,beta_median,0.6,40.0,20.0,0.5,36,-0.0978761848932552,0.10842644036095907,0.08256271891784696,0.0680645115971874,300
Median,beta_median,0.6,40.0,20.0,0.5,72,-0.10556493951347279,0.1062850656700125,0.05611758847111488,0.05473677717907308,300
Median,beta_median,1.0,20.0,40.0,2.0,36,-0.06270105015167567,0.09313154376234568,0.10237820334177279,0.0756529842399117,300
Median,beta_median,1.0,20.0,40.0,2.0,72,-0.05756797287440848,0.07250468747948044,0.06976402379576051,0.05401539555549337,300
Median,beta_median,1.0,30.0,30.0,1.0,36,-0.11123674452035506,0.12369171175924935,0.09731564685248689,0.08083639560853971,300
Median,beta_median,1.0,30.0,30.0,1.0,72,-0.11281649579488268,0.11518174429077814,0.068093866973163,0.06399764556600113,300
Median,beta_median,1.0,40.0,20.0,0.5,36,-0.17687813259081206,0.17972667372787982,0.09107099343553884,0.08529199873887866,300
Median,beta_median,1.0,40.0,20.0,0.5,72,-0.17796977257990068,0.17796977257990068,0.0637645209250705,0.0637645209250705,300
Median,beta_median,1.4,20.0,40.0,2.0,36,-0.11096558268851546,0.13806475728883227,0.12721241328570285,0.09701500471733492,300
Median,beta_median,1.4,20.0,40.0,2.0,72,-0.09702698671026991,0.10788806416074592,0.08963623258359671,0.07616831678023006,300
Median,beta_median,1.4,30.0,30.0,1.0,36,-0.17352091090981453,0.1806043334589342,0.11618722751240128,0.10479820482959626,300
Median,beta_median,1.4,30.0,30.0,1.0,72,-0.17464422664947543,0.175584397221014,0.08289739064111688,0.0808801673875466,300
Median,beta_median,1.4,40.0,20.0,0.5,36,-0.2679398325382361,0.2679398325382361,0.11072972381262525,0.11072972381262525,300
